"{-2.545584412271571, 2.545584412271571}",-0.820237,"{0.0081658671468516124`6., -0.008755639753623711`6., -0.0306239223877183053`6.}",3.6,-0.00108117
"{-2.4105115937161528, 2.3980919062530575}",-0.839269,"{0.0184667767714482713`6., -0.0205718444851126989`6., -0.1255070783103059107`6.}",3.400207484003941,-0.0165162
"{-2.2789035753758857, 2.247503380801323}",-0.86047,"{0.028133478134446898`6., -0.0327096617780633762`6., -0.3078292976719455299`6.}",3.2007300655591644,-0.0966203
"{-2.1517996747426027, 2.0930969718918413}",-0.899993,"{0.0353726177698503922`6., -0.0445744465025374083`6., -0.563742121571469351`6.}",3.0018822052114515,-0.321043
"{-2.03020381504206, 1.9343200888560694}",-0.93819,"{0.0400048506384038344`6., -0.0545683976179451382`6., -0.8803905130057465526`6.}",2.8041615033309846,-0.779666
"{-1.9150792788021458, 1.7707919243321335}",-0.979953,"{0.0422620725018721899`6., -0.0630045570214467988`6., -1.2450599056085327095`6.}",2.6083007271741594,-1.55593
"{-1.8069732585910547, 1.6025467198024423}",-1.023864,"{0.0423089663788800994`6., -0.0694851219543180656`6., -1.645357800392515287`6.}",2.4152242849087004,-2.71382
"{-1.708319325627944, 1.428607796156085}",-1.072644,"{0.0401051216316835014`6., -0.0737354218602597411`6., -2.0654770086929683891`6.}",2.226943006354644,-4.27324
"{-1.6166599539916133, 1.2508713259658408}",-1.123199,"{0.0361698094535838521`6., -0.0753388360971082319`6., -2.4930260208560440876`6.}",2.044081329341792,-6.22216
"{-1.5344353095052097, 1.0685888631120326}",-1.178228,"{0.0303673223435771477`6., -0.073340349336839688`6., -2.9108048949812638055`6.}",1.8698593202226244,-8.47909
"{-1.4635952744410645, 0.8815964508698332}",-1.245993,"{0.0226143275956596393`6., -0.0671588959430493146`6., -3.2953153299468924303`6.}",1.7086027711415257,-10.8641
"{-1.4074515778885701, 0.6897132786544716}",-1.33818,"{0.0133595599385470441`6., -0.0563922122113209473`6., -3.625885638992717332`6.}",1.5673622270723915,-13.1504
"{-1.37220640939186, 0.49297517648438516}",-1.468101,"{0.0042900982593662124`6., -0.041627954509285707`6., -3.8940280825105378147`6.}",1.4580723420344792,-15.1652
"{-1.3653194033190879, 0.2932828277144628}",-1.5913231,"{-0.0005133482422728618`6., -0.0250051995992532211`6., -4.055224767119279972`6.}",1.3964640668888624,-16.4455
"{-1.3736454321945535, 0.09346699695440376}",-1.649124,"{-0.0006300954699628924`6., -0.0080279370519625341`6., -4.1421608397769772361`6.}",1.376821648910503,-17.1576
"{-1.3527765336396542, -1.2526248431726496*^-9}",-3.1415926407056,"{-0.0063934825362124852`6., -8.237501907806463186112466701`6.*^-11, -4.1511155583278197479`6.}",1.3527765336396542,-17.2318
"{-1.3527765336396542, -1.3126749044896854*^-9}",-3.1415926400879,"{-0.006393482536212469`6., -8.632403846646832801248194755`6.*^-11, -4.1511155583278197636`6.}",1.3527765336396542,-17.2318
